method,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,subject
interpolation,-613.2598046851253,-1024.0,1906.0,363,1,0.920559076136566,0.2475320440659947,3.6104501220898144,14.585788824687397,16.5,16.82676439485619,16.5,16.93428475017472,467.1809999999993,13.427080285177276,0.5967583528397884,487.913010763306,1.0443768277462198,483.15300000000013,88.2,160.8,6436283.0,2.21325166957533,34.0,5.154664226003486,185.0,24.03574437083077,129.1267217630854,137.0,5.0,180.0,14.349947917290264,133.15707702760088,-1.4691734892373465,8566692.673000002,0.2678702881557878,1057.0968892531628,32.502712783675086,73.15533607111473,-8.389610486284713,4.0297795317845555,2.646097739634921,0.2203920611178113,1.1278195146353878,1.8732897745528416,1.2399707493854126,0.6049362786104759,0.5695191482779133,0.9648926902776752,0.8890844009317248,-0.1145950598545348,0.5513830660246226,0.4666980636979643,5.670641803051582,0.0837144674583382,4.132119081296279,0.4292415237853433,0.1682557913305888,11.341283606103168,2.8516218836955036,1.668969317854869,5.355031640330724,30.592286501377412,0.0842762713536567,11.2824867761006,97.23691460055096,1.8176961197246695,34.17906336088154,56.57575757575758,2066.2011019283746,1.7792819349962208,0.0535303561277587,0.0773214328959179,1.917520560299444,0.0091544091316712,70.14069716648085,0.246235605579034,2.0851652469536157,33.476533752439494,2.391172606286698,84.32726197775752,0.1093207000973375,0.0593657874123483,3.1903012391804753,193.273610522169,0.6538914468080145,0.7796143250688706,0.5306574794148963,0.8226032830707894,27.078304420673103,0.0530836233078841,4.851851851851852,0.1796982167352537,3.994513031550068,20.59259259259259,1186.4074074074074,45790.25925925926,33.252909947929794,0.1434304400772654,5.222222222222222,0.1934156378600823,0.4231790125165979,8.014126765277714,0.0620068731279434,4.028604521628766,0.0743801652892562,1005.6543209876544,1.0964194807385104,0.0161927840943123,21.896909484280854,0.0527504053536814,0.4600270168362975,10
interpolation,-593.2607468774154,-1024.0,1519.0,21440,1,0.8413125999617235,0.5099875808868768,23.04105972297025,45.17964865517209,48.71149761606597,50.790944074706864,42.716273245684725,50.98117299552846,28487.947583333244,38.01020767544001,0.8485678386502209,5315.837108765477,0.1865995117133494,28536.64000000001,5.0,83.0,55282935.0,2.3194409127765634,43.0,2.834736347745395,156.0,24.598717790188513,40.87159514925373,37.0,-89.0,245.0,17.980712984359993,50.77888441677249,0.3024539565799048,73581586.48500003,0.230667695512642,908.0078125674391,39.17335378375463,70.19183887070618,4.448541765510251,5.134550259092468,0.9519972400413432,0.6872650533213561,0.686477862243917,1.4252511582141263,0.4732947274468381,0.6973876970491835,0.6831711610199098,0.9923355990619036,0.9444541974518372,-0.2055366639619221,0.7744010262763334,0.4874036663375938,6.174763442548865,0.0773310898029393,4.149205968564313,0.7068851343602929,0.142734675911212,12.349526885097733,3.162825675063443,1.5216368747834528,6.47385751114642,1191.2587686567165,0.0555624425679438,24.056742036088217,4945.515391791045,1.526442275562486,39.436194029850746,156.0151119402985,5908.379850746269,4.674767797485126,0.0301950170048821,0.0250958380068601,0.964700035161764,0.0009954104055668,2779.7018668468672,0.2172615210501526,1.6789331049438856,39.94345382182193,4.243199562146465,162.4233632275022,0.1283060032258973,0.0305895665806277,4.003402732347637,5724.96671537487,0.4435725496467237,0.5966417910447762,1.3714832765147271,0.6870366228863222,27.543552804645135,0.0214497580317633,57.298850574712645,0.164651869467565,4.909994715286035,39.747126436781606,290365.1034482759,10558295.804597702,8683.525814007402,0.0475322257435337,83.53448275862068,0.2400416171224732,0.4984606002648203,18.51730949352284,0.0241938785084544,5.461657538156915,0.016231343283582,286569.41049015726,25.24439016092366,0.0004651524118687,26.4570116271791,0.0135432057116793,0.0242894786857009,11
interpolation,-506.5656762253124,-1024.0,1442.0,2208,1,0.8292812637217051,0.5230341046457948,11.111001690175389,21.243359833485226,22.435685859808252,23.745736459415195,23.745736459415195,25.7268342397583,2913.337166666657,17.61672028840754,0.7855387975801055,1255.7706191016905,0.4310419794419129,2938.848000000001,82.0,151.0,34514310.0,2.1440953049793197,29.0,5.868642103790041,187.0,21.317752638626335,121.5163043478261,127.0,-31.0,218.0,12.993280150382702,125.02592122540378,-1.376203540174474,45938546.610000014,0.2919193709304767,865.2687559073725,57.09994786209404,77.0996863212599,-8.142055305299412,3.6820773360774313,0.9803290570237884,0.5760964734598014,0.6495914296744518,1.4493745281627572,0.5471409444158387,0.7212341050329303,0.7073737970953146,0.9906220265344152,0.9433122642365622,-0.1622202400841025,0.6707022144396634,0.4397483102495076,7.51158159912739,0.1297099785149378,3.711388871697845,0.6135244226767926,0.2792238844891127,15.023163198254776,2.8292838392705013,1.165601598275305,6.134746387428638,104.69927536231884,0.0474181500735139,34.449727440401176,644.5579710144928,1.4347161507561437,55.94565217391305,169.61141304347825,10403.96829710145,2.8633968685728113,0.0215079187497261,0.0336649864838506,1.272617883926295,0.0020251953476783,311.44004504738336,0.2377936209926326,1.8584263439741904,53.03354502256649,4.588741530464211,270.43384986249015,0.0863112685674018,0.0242658138838394,3.887371167282029,591.7399623445184,0.445657789043994,0.5913113154960981,1.5756668967523464,0.6889487289518128,34.614837543835876,0.0185991855152498,6.8431372549019605,0.1341791618608227,5.548635140330642,33.78431372549019,26830.70588235294,1594399.607843137,462.99222966038275,0.0809478173985643,12.72549019607843,0.249519415609381,0.5138495140378937,14.49181221224327,0.0575524887988853,4.797343175636374,0.0230978260869565,24956.32525951557,2.237344791137198,0.0043439094482798,22.520508371565857,0.0152872136192708,0.2499470535971134,20
interpolation,-594.3302008614864,-1024.0,2293.0,61637,1,0.9155486865828192,0.5564443075652649,33.70369455896238,60.569753523822875,65.13263390958484,67.54035830523851,66.14650406484081,67.86206598682361,81968.19308333246,55.45455828538111,0.8533371469960996,10693.67663426917,0.1304612951928501,82038.84700000002,14.0,60.0,104155924.0,1.6829580708018514,25.0,3.0983543943099416,122.0,14.507082205125394,36.92473676525464,37.0,-44.0,166.0,10.468007792301105,41.10751668527596,0.1348312871032065,138631534.84400004,0.3593370285768424,326.3917428468942,16.09039626083796,9.453757234798063,0.2276994090618873,1.8182663601585247,0.5383636733898467,0.5429572592087284,0.4786977279599745,1.1371289904582955,0.3043548661258284,0.770410919868254,0.7666162479693684,0.9893762305192229,0.9409852881571756,-0.162039797602981,0.6296707319913851,0.4282224783942298,3.971194988578976,0.1615087735964645,3.0542581343899,0.5471497501714337,0.3041910805358283,7.942389977157952,2.4454869267675168,0.5891575083870928,5.949974167575753,3159.404302610445,0.0512582426563662,28.90997192828958,22148.456430390837,0.6071344327760255,16.574054545159562,243.42740561675615,3809.127520807307,17.492051269231677,0.0711264648847246,0.0161012455649013,0.300252006115935,0.0014097204371741,9429.00714696978,0.321831212813693,0.7449948537403268,17.224393125731076,7.683211004367218,121.277488194708,0.5543900368003579,0.0711468005094424,3.883287754618404,9888.672697402071,0.3312470241153959,0.4751379353809711,3.011727625456537,0.5797874716595157,10.28224115745626,0.0417493353317215,173.17079889807164,0.238527271209465,2.7270830013129035,18.83746556473829,1824692.6955922863,29580760.15013774,121452.8406188977,0.1090617523409731,179.6556473829201,0.2474595693979615,0.5061298396644471,9.958339545190514,0.0519027787871412,4.930436314903023,0.0117786394535749,1817484.779145702,215.0837861558715,0.0001302659406931,8.591985235494054,0.0114354781140428,0.0026456371699129,21
interpolation,-691.80421059218,-1024.0,1317.0,24597,1,0.9200118338421318,0.5438938060926836,24.454485305034755,44.96187496731215,49.193495504995376,51.92186437330616,47.92264600374233,53.31313159063159,32683.370500000194,41.36545704165749,0.8192458084355456,6034.219739531538,0.1846266051272619,32738.60700000001,56.0,160.0,347891021.0,2.6600279920001486,58.0,2.469853967924043,205.0,32.291816629499905,112.32918648615684,117.0,-47.0,252.0,24.073467850019952,118.92702071629492,-0.3999164900637895,463042948.95100015,0.1761915283294627,1525.7901198122363,51.31742098965137,205.95849383206237,-10.256057317940828,9.219885204248214,0.867269361138653,0.8280566903099834,0.639272472381971,1.375909001221379,0.4464700345942836,0.7152749068888793,0.7030103098737915,0.99301111193854,0.9481531556050724,-0.3171038657740775,0.8954901940626948,0.4678711851318179,7.0163517319664575,0.0595868049684702,4.469781673887333,0.8303789632055126,0.1123600001176987,14.032703463932917,3.5723785441962352,2.5217886413467165,6.876231113635107,1412.249176728869,0.0574155050099145,24.289295851450873,4333.783022319795,2.530618617443927,51.717485872260845,174.35951538805546,9616.697280156117,4.042942858079253,0.0252610984968151,0.017333669002534,0.7881434730594725,0.0006251475210065,2438.0602825609244,0.1748043789498838,2.527082041028227,50.20122280256333,4.8669285911523,261.47653957357204,0.1166479126407591,0.0263252284047986,4.4020971638354,5801.83054088559,0.4086040346467723,0.5672955738817429,1.6102190519199584,0.6547861595057357,32.03168807301335,0.0178610195970633,27.160377358490567,0.1281149875400498,6.8275854396582405,46.363207547169814,442623.32547169813,23251132.88207547,9508.99116831651,0.0504767348884012,45.0188679245283,0.2123531505873976,0.4730560964447446,19.385898281750787,0.0238913836888779,5.76192074279361,0.0086189372687726,429161.8532173371,17.893764549179835,0.0006264893788284,21.15916894778928,0.0182746204454742,0.0305305563736229,30
interpolation,-549.6316272825862,-1024.0,3065.0,3667,1,0.9046137948294326,0.8185932948340114,17.112976239200965,20.90534621673271,24.596747752497688,22.6503863101714,24.299794237811977,24.621332214159334,4854.046083333346,18.9112645733417,0.8837257829033898,1568.805832979079,0.3231954963026961,4880.777000000002,24.0,80.0,12373499.0,2.0269194192841513,27.0,6.333444927116183,194.0,18.44150330979902,52.1028088355604,50.0,-28.0,222.0,11.575191984946343,58.088586514765,1.081277432926197,16469127.169000003,0.3096776510908955,659.5811947283867,21.38655316608061,57.079610410298216,5.8368369692378925,2.8548734413301773,1.0063046917428105,0.4760905499530565,0.7036345149905489,1.4468656700730764,0.4986419309804594,0.6932302253761722,0.6780651480316711,0.9902873342848412,0.9382455748188052,-0.1067082320844581,0.5486249557531815,0.487078476311129,4.574314236656385,0.1223991404706631,3.651020450810184,0.6016930800320741,0.1935939615439163,9.14862847331277,2.6564654643179435,0.9652945332682468,5.829759673013818,211.4630488137442,0.0576664981766414,22.44686068279436,1135.5879465503135,1.1285843141859802,22.2830651758931,140.07499318243796,2899.8325606763024,7.359174220049603,0.0557021838545839,0.0300138159534299,0.8437477783103684,0.0023838199156113,603.1678490113308,0.2643888868267123,1.4586095891603674,23.03869260831592,3.836173252958446,82.26879275853773,0.2076734745751141,0.0572823491165914,3.686777536969503,1070.8939544632196,0.4630954346081477,0.6213211386377462,1.140923166876534,0.7009585053065861,16.654808052770434,0.0412925360208883,17.866666666666667,0.1985185185185185,5.5683950617283955,28.822222222222223,44609.98888888889,915237.1333333332,2305.7285173479886,0.0976957461997144,16.377777777777776,0.1819753086419753,0.4203737631919015,13.249957587419484,0.0446661407068019,5.013423651596755,0.0245432233433324,42949.87913580246,7.568502921775894,0.0021346972779186,23.74411299839653,0.0130747304971979,0.1066025820934047,31
interpolation,-568.9146885974551,-1024.0,2926.0,1804,1,0.9476668769953565,0.5718396746802447,10.5275957159137,18.41004774948575,20.07311634998413,21.15892246783848,20.07311634998413,21.27298756639509,2377.997874999991,17.44659245609055,0.8332751757280806,1033.959010106198,0.4348023271913991,2401.1240000000007,61.0,101.0,12067688.0,1.54361538920251,21.0,3.2709324370580717,127.0,12.706081828506251,80.20953436807095,80.0,10.0,117.0,8.947416501605082,81.78878752596067,-0.1593886552761279,16062092.728000006,0.3995782960752406,255.83636142398515,14.01299259751314,4.430296192723196,-0.1122185860342899,1.2237875782012972,0.6834365513266012,0.2829427276626031,0.5699794150505748,1.2447534270869085,0.3536119724520917,0.7334251870440993,0.7263485679321049,0.982026953871018,0.920576584957362,-0.0529273366916149,0.350072449456485,0.4753235876721858,3.7253009763485703,0.1738753531259116,2.9435586992241145,0.29009114865766,0.3053939507018613,7.450601952697141,2.1798270334843712,0.4768060323819744,5.429606959523658,103.77827050997784,0.0575267574889012,22.914444865069495,720.839246119734,0.498684863889558,14.374722838137473,158.8359201773836,2250.633037694013,12.207570522296132,0.0824230105937423,0.0286930684746176,0.4627425487244585,0.0039054181241334,372.7466463023417,0.350075091369151,0.6244973625409769,14.513392018886918,4.226498356275427,60.39612831376364,0.3342473089424916,0.0854905785447639,3.2741401652054285,460.0407305313829,0.4267874597986115,0.5900562851782364,1.2681021634389789,0.6702049271969958,9.842213724797013,0.059335022970082,16.782608695652176,0.3648393194706994,2.4617202268431004,16.934782608695652,27493.130434782608,388731.17391304346,2083.166425120773,0.1530012077294686,9.782608695652174,0.2126654064272211,0.4562222849582887,7.742080649346848,0.0920817166070075,4.0227888595427155,0.0254988913525498,25955.126654064272,8.929964241836942,0.0040069915586496,6.933609656414267,0.014849853017002,0.051616223832426,40
interpolation,-589.7231086818415,-1024.0,2614.0,27336,1,0.7686381013151721,0.5815608983977355,28.07162295032791,48.269446979101126,55.2743159161649,41.42197484427801,55.09891106002006,55.49279232476954,36329.03495833319,37.10173607754966,0.8636838548310158,6141.840928953909,0.1690614940913834,36384.21600000001,38.0,89.0,125732461.0,1.817504731372092,25.0,3.697912354163952,146.0,15.795864912299182,64.6969198127012,66.0,-45.0,191.0,10.869206202670911,67.81975635292831,-0.4265446876538767,167349905.59100005,0.3389872309723054,413.82791851946985,26.568772842636236,19.201776738031963,-1.3815946397481895,2.318964948922207,0.5808895470979787,0.5989536393391498,0.5005010832452594,1.1782967423000033,0.3255174223454647,0.7626867505578295,0.7577728298558615,0.991186142937554,0.9452704881584878,-0.1851082750009761,0.6846430636680491,0.4344043232739351,5.112166131401281,0.1496368262864817,3.2671015050892955,0.6180414292992625,0.2880377917082895,10.224332262802562,2.6104076214699186,0.7249636240050462,6.083272658710044,1434.5160228270413,0.0524771737937899,27.28721695195972,9266.55494585894,0.745050585655619,26.847819724904888,227.5631401814457,6116.915496049166,9.214091121264012,0.0429037398023056,0.0152971577606108,0.4105666474782597,0.0009332663807023,4021.693555748612,0.2976090986151721,0.9300620100731678,26.79983163028983,6.777807218575661,181.6584852847059,0.2792595371092766,0.0447843828496253,3.9641845731746086,4672.782186666622,0.3400212200796675,0.4941581684338488,2.4935615186660436,0.5873074628201225,15.670409031132378,0.0274981079483312,67.9616724738676,0.2368002525221867,3.681992011557746,27.477351916376307,866203.0592334495,23496495.393728223,33452.04460774234,0.0782142264571333,62.99303135888502,0.2194879141424565,0.4780408814778669,13.455040261395585,0.0370028122228061,5.153031036264227,0.0104989757096868,857130.9945489201,55.38805759477296,0.0003299637319772,11.175301349206045,0.0102222578578409,0.0096991818920409,41
interpolation,-598.4005790791172,-1024.0,1268.0,2188,1,0.9617259659834942,0.4907450540623193,10.06444350117435,20.508497065558355,23.126175645791506,24.149948240110167,23.204525420701888,24.174987073419505,2887.7708750000124,19.723554151243764,0.7982777326636217,1228.4908627868606,0.4254114734039816,2912.228000000001,79.0,166.0,40271574.0,2.4184518983016723,36.0,5.339332149680166,209.0,26.941930222687148,130.59049360146253,140.0,-32.0,241.0,16.351310634563788,135.6674441163134,-1.3772530851946836,53601464.99400002,0.2453368715513236,1351.7783739793924,63.483169242082,156.8004334218065,-15.889137870584698,5.334421501408818,1.3741066803927244,0.5830044889382365,0.7580909063059729,1.608785347234942,0.7797127062203923,0.6974931715444039,0.6783450493491853,0.9893072895491364,0.940436348106802,-0.1762794099250053,0.7087743581647499,0.4365432153640642,7.905177826736777,0.1095422715051951,3.9998055388321414,0.6274608911523997,0.2213795849691746,15.810355653473554,3.037599677616308,1.6771320454503862,6.219399052216863,103.47897623400364,0.0472938648235848,36.23630388791781,536.7970749542961,2.2561921599951873,62.17001828153565,157.69926873857403,10970.35100548446,2.3670431359374033,0.0222065465323122,0.0479104740369731,2.0099853571070216,0.0034131485519265,257.4801632015692,0.1906076395212217,2.943572592568505,58.44367502217441,4.162089308142829,274.4771581327803,0.0759895929592782,0.026225925629696,4.068621024291682,646.1414494667686,0.473759110311289,0.6145760090001406,1.3792991662422394,0.7126889545829257,39.132306512610974,0.0214868446937625,13.340425531914894,0.1419194205522861,6.933001358080579,38.723404255319146,12052.95744680851,820120.340425532,181.96379057637176,0.0836563517991974,19.127659574468087,0.2034857401539158,0.4486464136757133,16.88242582994282,0.0548138506173691,5.220990485334098,0.0429616087751371,11511.157537347215,1.9655981591180285,0.0044279338867731,29.5849360300655,0.0234352641489446,0.2690232429046543,50
interpolation,-648.6260958591944,-1024.0,3070.0,7058,1,0.8853304208522953,0.7575964645837171,20.32455894146536,26.82768451491292,30.20496647904116,28.28091229080137,29.040833321376994,31.132137735786795,9361.422124999988,23.751365222080462,0.8999130649849795,2386.9580515223824,0.254978145376858,9394.198000000002,81.0,135.0,86256801.0,1.8465540290864304,30.0,2.753713240912376,187.0,16.858045883193785,108.59011051289318,109.0,31.0,156.0,12.367042101104571,110.54926175502952,-0.0811856454013997,114807802.13100004,0.3162803748658747,429.3271733796827,15.505987780083192,14.735065409947556,-0.2362938805082895,2.379345572565071,0.6072823887829647,0.5931476775443676,0.5213534333279434,1.1904805318402203,0.3293608846636325,0.7532623262718988,0.7479110723097236,0.988066494413488,0.9360113986944176,-0.1822156265623849,0.6826684631144391,0.4497417013232845,3.881094431885776,0.1301464668134745,3.3287676969897806,0.598512771635818,0.2354922880655737,7.762188863771551,2.644785413540833,0.7466569903370088,6.0080649165995705,405.2094077642392,0.0574113640924113,23.159181010902586,2232.306885803344,0.7620164935460474,15.675970529895157,200.35307452536128,3159.8136865967695,15.030348845876311,0.0817765080907209,0.016145950221413,0.2710349605555466,0.002035063419583,1097.3058902884206,0.295301713319603,0.8825189094555875,15.63619742584559,5.599547930472937,88.02569247385739,0.4342023147177273,0.0864622226755181,3.816231263400805,1358.4321026167795,0.3587563672729719,0.5264838590143209,1.8006960795453275,0.6033147447054975,9.40912298658951,0.0553327471584497,21.133333333333333,0.2348148148148148,3.234691358024691,17.255555555555556,170715.97777777776,2646746.6333333333,12288.958937893673,0.1717668808264046,15.555555555555555,0.1728395061728395,0.3960679365860666,7.377905777095672,0.0650087092749412,4.929773302730209,0.0127514876735619,164565.93283950616,23.79230453846672,0.0013019896966992,8.275532840724665,0.0141895222643262,0.0242522179866577,51
